月份,已實現淨報酬 (%),已實現損益 (NT$),出場筆數,是否達 10%
2016-06,0,0,0,否
2016-07,1.75,17474,3,否
2016-08,0,0,0,否
2016-09,0,0,0,否
2016-10,-1.27,-12910,1,否
2016-11,-7.96,-80012,3,否
2016-12,0.07,648,1,否
2017-01,6.71,62098,2,否
2017-02,11.83,116791,4,是
2017-03,-0.51,-5582,4,否
2017-04,0,0,0,否
2017-05,1.08,11826,4,否
2017-06,-2.07,-23025,1,否
2017-07,0,0,0,否
2017-08,-3.33,-36258,1,否
2017-09,-1.58,-16587,1,否
2017-10,21.9,226557,5,是
2017-11,5.62,70910,4,否
2017-12,-3.02,-40283,2,否
2018-01,-0.5,-6467,6,否
2018-02,-1.8,-23155,2,否
2018-03,2.49,31373,3,否
2018-04,-5.45,-70541,2,否
2018-05,24.65,301429,3,是
2018-06,-1.97,-30081,1,否
2018-07,-4.99,-74499,2,否
2018-08,-2.12,-30047,1,否
2018-09,0,0,0,否
2018-10,0,0,0,否
2018-11,-1.6,-22256,1,否
2018-12,-1.51,-20609,1,否
2019-01,-4.12,-55467,1,否
2019-02,-3.82,-49382,2,否
2019-03,4.13,51316,3,否
2019-04,-7.99,-103356,4,否
2019-05,0,0,0,否
2019-06,0.62,7321,1,否
2019-07,2.01,24033,1,否
2019-08,-4.31,-52603,2,否
2019-09,-1.72,-20100,3,否
2019-10,3.4,39067,2,否
2019-11,-5.24,-62277,3,否
2019-12,-4.54,-51055,2,否
2020-01,0.78,8418,1,否
2020-02,-1.82,-19717,1,否
2020-03,0,0,0,否
2020-04,-2.85,-30314,1,否
2020-05,38.17,394143,2,是
2020-06,1.05,14967,2,否
2020-07,4.54,65433,8,否
2020-08,13.06,196841,5,是
2020-09,-1.06,-18105,6,否
2020-10,10.13,170796,3,是
2020-11,14.39,267156,3,是
2020-12,14.45,307010,4,是
2021-01,14.69,357016,4,是
2021-02,-4.29,-119670,2,否
2021-03,33.31,888782,3,是
2021-04,22.17,788513,2,是
2021-05,-4.57,-198784,3,否
2021-06,16.09,667163,4,是
2021-07,-6.87,-330848,5,否
2021-08,2.33,104440,4,否
2021-09,15.41,706963,2,是
2021-10,-4.16,-220304,1,否
2021-11,3.4,172304,5,否
2021-12,11.09,582021,3,是
2022-01,-0.34,-20001,1,否
2022-02,-5.75,-334062,2,否
2022-03,-1.51,-82677,3,否
2022-04,1.89,101661,3,否
2022-05,-4.87,-267439,2,否
2022-06,0,0,0,否
2022-07,0,0,0,否
2022-08,13.11,685152,3,是
2022-09,-2.31,-136547,1,否
2022-10,-1.7,-98404,1,否
2022-11,-0.74,-41848,2,否
2022-12,13.37,753353,1,是
2023-01,11.9,759891,1,是
2023-02,22.02,1574226,3,是
2023-03,-2.25,-195952,1,否
2023-04,12.07,1029395,4,是
2023-05,19.09,1824230,7,是
2023-06,1.01,114627,4,否
2023-07,24.12,2772671,5,是
2023-08,-3.79,-540162,1,否
2023-09,4.43,607775,5,否
2023-10,-6.19,-887360,4,否
2023-11,8.62,1159181,3,否
2023-12,11.29,1649712,4,是
2024-01,3.29,534313,4,否
2024-02,3.89,652462,3,否
2024-03,-3.02,-527484,4,否
2024-04,10.58,1789940,4,是
2024-05,-11.89,-2223421,8,否
2024-06,1.42,233598,4,否
2024-07,-5.43,-907405,7,否
2024-08,-6.84,-1080956,2,否
2024-09,-10.01,-1474654,7,否
2024-10,10.47,1387689,1,是
2024-11,-6.32,-925948,2,否
2024-12,-3.4,-466682,2,否
2025-01,-4.94,-654286,2,否
2025-02,5.64,709716,8,否
2025-03,-10.34,-1375575,5,否
2025-04,0,0,0,否
2025-05,0,0,0,否
2025-06,3.04,362836,3,否
2025-07,-1.23,-150889,3,否
2025-08,11.68,1417440,3,是
2025-09,18.6,2522061,3,是
2025-10,-6.05,-973407,4,否
2025-11,-0.61,-91444,7,否
2025-12,4.02,603839,4,否
2026-01,19.83,3096634,5,是
2026-02,4.71,881800,4,否
2026-03,5.52,1081183,4,否
2026-04,7.09,1466571,5,否
2026-05,15.87,3515214,4,是
2026-06,-3.6,-923228,4,否
