"月份","月初資金","月底資金","月報酬(%)","新進場筆數","出場筆數","是否達月報酬10%"
"2016-06","1000000","994514","-0.55","2","1","否"
"2016-07","994514","1015603","2.12","5","6","否"
"2016-08","1015603","1039054","2.31","3","3","否"
"2016-09","1039054","1039650","0.06","1","1","否"
"2016-10","1039650","1039650","0","0","0","否"
"2016-11","1039650","1039650","0","0","0","否"
"2016-12","1039650","1039650","0","0","0","否"
"2017-01","1039650","1039650","0","1","0","否"
"2017-02","1039650","1042453","0.27","4","4","否"
"2017-03","1042453","1042829","0.04","2","2","否"
"2017-04","1042829","1039655","-0.3","1","2","否"
"2017-05","1039655","1039655","0","0","0","否"
"2017-06","1039655","1027797","-1.14","1","1","否"
"2017-07","1027797","1029183","0.13","1","1","否"
"2017-08","1029183","1024572","-0.45","2","2","否"
"2017-09","1024572","1024572","0","0","0","否"
"2017-10","1024572","1041190","1.62","3","3","否"
"2017-11","1041190","1048970","0.75","1","1","否"
"2017-12","1048970","1048970","0","1","0","否"
"2018-01","1048970","1054076","0.49","2","3","否"
"2018-02","1054076","1054076","0","1","0","否"
"2018-03","1054076","1048134","-0.56","2","2","否"
"2018-04","1048134","1052227","0.39","0","1","否"
"2018-05","1052227","1054790","0.24","1","1","否"
"2018-06","1054790","1049135","-0.54","1","1","否"
"2018-07","1049135","1049135","0","0","0","否"
"2018-08","1049135","1050175","0.1","2","1","否"
"2018-09","1050175","1041443","-0.83","2","3","否"
"2018-10","1041443","1041443","0","0","0","否"
"2018-11","1041443","1041443","0","1","0","否"
"2018-12","1041443","1039910","-0.15","0","1","否"
"2019-01","1039910","1036509","-0.33","3","3","否"
"2019-02","1036509","1041671","0.5","2","2","否"
"2019-03","1041671","1041671","0","0","0","否"
"2019-04","1041671","1049839","0.78","1","1","否"
"2019-05","1049839","1039083","-1.02","1","1","否"
"2019-06","1039083","1039083","0","0","0","否"
"2019-07","1039083","1070741","3.05","3","3","否"
"2019-08","1070741","1053782","-1.58","3","3","否"
